咩	meh	1
咪	mai	40
咪	mei	40
咪	mi	40
咫	ji	6
咬	ngau	36
咭	kaat	0
咭	kat	0
咮	jau	0
咯	gok	2
咯	loh	2
咯	lok	2
咱	ja	49
咳	haai	17
咳	kat	17
咶	faai	0
咷	to	0
咸	haam	2
咺	hui	0
咻	yau	2
咼	wa	0
咽	yin	3
咿	yi	1
哀	ngoi	80
哀	oi	80
品	ban	422
哂	chan	0
哂	saai	0
哃	tung	0
哄	hung	7
哅	hung	0
哆	che	0
哇	wa	250
哈	ha	739
哉	joi	33
哋	dei	10
哎	aai	32
哎	ai	32
哏	gan	0
哞	mau	0
員	yuen	619
哢	lung	0
哤	mong	0
哥	goh	355
哦	ngo	148
哦	ngoh	148
哦	oh	148
哧	chi	0
哨	saau	8
哩	le	92
哩	lei	92
哪	la	558
哫	juk	0
哭	huk	96
哮	haau	1
哱	boot	0
哲	jit	84
哳	jaat	0
哷	luet	0
哺	bo	3
哺	bou	3
哼	hang	16
哽	gang	1
哿	goh	0
唁	yin	0
唃	guk	0
唄	booi	1
唅	ham	0
唆	soh	4
唇	sun	15
唈	yap	0
唉	aai	315
唉	ngaai	315
唌	yin	0
唎	li	0
唏	hei	1
唐	tong	45
唑	sai	0
唒	chau	0
唓	che	10
唓	cheh	10
唔	m	15
唔	ng	15
唗	dau	0
唚	cham	0
唞	tau	10
唥	lang	0
唦	sa	0
唧	jik	1
唧	jit	1
唪	baang	0
唪	fung	0
唬	foo	39
唭	gei	0
售	sau	155
唯	wai	131
唰	sa	0
唱	cheung	318
唲	yi	0
唳	lui	0
唴	geung	0
唵	am	0
唶	chik	0
唷	yo	41
唷	yoh	41
唸	nim	109
唼	jaap	0
唾	teu	9
唾	teuh	9
啀	ngaai	0
啁	jaau	0
啃	hang	4
啃	kang	4
啄	deuk	6
啅	deuk	0
商	seung	346
啈	hang	0
啊	a	981
啊	ah	981
啊	oh	981
啋	choi	0
啍	tun	0
啎	ng	0
問	man	3558
啐	sui	0
啑	sap	0
啒	fat	0
啕	to	0
啕	tou	0
啖	daam	0
啗	dam	0
啜	juet	1
啞	a	9
啞	ah	9
啞	nga	9
啟	kai	142
啡	feh	39
啡	fei	39
啢	leung	0
啣	haam	0
啤	be	9
啤	beh	9
啥	sa	204
啦	la	1061
啩	gwa	10
啪	paak	59
啫	je	10
啱	ngaam	10
啱	ngam	10
啲	di	10
啲	dit	10
啵	boh	0
啶	ding	0
啷	long	0
啻	chi	1
啼	tai	6
啽	ngam	0
啾	jau	4
喀	ka	5
喁	yung	0
喂	wai	32
喃	nam	8
善	sin	222
喇	la	47
喈	gaai	1
喉	hau	10
喊	haam	55
喋	dip	1
喌	juk	0
喍	chaai	0
喎	wo	0
喎	woh	0
喏	ye	0
喑	ngam	0
喒	ja	0
喓	yiu	0
喔	aak	556
喔	ak	556
喔	ngak	556
喔	o	556
喔	ok	556
喘	chuen	8
喙	fooi	4
喚	woon	25
喜	hei	858
喝	hot	130
喟	wai	0
喢	jip	0
喣	hui	0
喤	wong	0
喥	dok	0
喦	aam	0
喧	huen	13
喨	leung	0
喪	song	28
喫	hek	1
喬	kiu	35
喭	yin	0
單	daan	672
單	dan	672
喱	lei	0
喲	yo	23
喲	yoh	23
喳	cha	1
喳	ja	1
喵	miu	86
喺	hai	10
喻	yue	23
喼	gap	10
喼	gip	10
喿	so	0
嗀	huk	0
嗃	haau	0
嗄	a	0
嗅	chau	2
嗆	cheung	2
嗇	sik	1
嗈	yung	0
嗉	so	0
嗊	kung	0
嗋	hip	0
嗌	aai	0
嗌	ngaai	0
嗍	sok	0
嗎	ma	2090
嗏	cha	0
嗐	haai	0
嗑	hap	0
嗒	daap	0
嗒	daap	0
嗓	song	3
嗔	chan	2
嗕	yuk	0
嗖	sau	1
嗗	gwat	10
嗙	pong	1
嗚	woo	246
嗛	haam	0
嗜	si	8
嗝	gak	1
嗟	je	1
嗡	yung	5
嗢	wat	0
嗣	ji	1
嗤	chi	4
嗥	ho	0
嗦	sok	1
嗨	hai	36
嗨	hei	36
嗨	hoi	36
嗩	soh	1
嗯	ng	304
嗰	go	10
嗰	goh	10
嗱	na	10
嗲	de	0
嗶	bat	8
嗶	bit	8
嗷	ngo	0
嗹	lin	0
嗺	jui	0
嗼	mok	0
嗽	sau	2
嗾	sau	0
嘀	da	0
嘁	chik	0
嘂	giu	0
嘅	ge	10
嘅	geh	10
嘆	taan	42
嘈	cho	0
嘈	chou	0
嘉	ga	124
嘉	gaa	124
嘌	piu	0
嘍	lau	10
嘎	ga	14
嘏	ga	0
嘐	hau	0
嘒	wai	0
嘓	gwok	0
嘔	au	7
嘔	ngau	7
嘕	hin	0
嘖	chik	2
嘗	seung	56
嘛	ma	330
嘜	mak	0
嘝	huk	0
嘞	laak	10
嘞	lak	10
嘟	do	14
嘟	dou	14
嘢	ye	10
嘢	yeh	10
嘥	saai	10
嘧	mat	0
嘩	wa	6
嘬	chaai	0
嘮	lo	0
嘮	lou	0
嘯	siu	10
嘰	gei	4
嘲	jaau	11
嘳	fai	0
嘴	jui	84
嘵	hiu	0
嘶	si	6
嘸	mo	11
嘹	liu	0
嘺	kiu	0
嘻	hei	148
嘽	tan	0
嘿	hei	150
噀	sun	0
噁	woo	28
噂	juen	0
噃	boh	10
噅	fai	0
噆	cham	0
噉	daam	0
噊	wat	0
噌	jang	0
噎	yit	5
噏	up	10
噓	heuh	14
噔	dang	0
噗	pok	2
噘	kuet	0
噙	kam	0
噚	cham	0
噞	yim	0
噠	daat	1
噢	yue	8
噣	chow	0
噤	gam	0
噥	nung	0
噦	yuet	0
器	hei	452
噩	ngok	2
噪	cho	13
噪	chou	13
噫	yi	3
噬	sai	2
噭	kiu	0
噮	yuen	0
噯	aai	2
噰	yung	0
噱	keuk	4
噲	faai	0
噳	yue	0
噴	pan	49
噶	ga	2
噷	ham	0
噸	dun	5
噹	dong	14
嚀	ning	3
嚂	laam	0
嚃	daap	0
嚄	oh	0
嚅	yue	0
嚆	ho	0
嚇	haak	70
嚌	chai	0
嚎	ho	4
嚎	hou	4
嚏	tai	1
嚐	seung	12
嚓	chaat	0
嚕	liu	7
嚕	lou	7
嚗	bou	0
嚘	yau	0
嚙	ngit	0
嚚	ngan	0
嚜	ma	0
嚟	lai	10
嚟	lei	10
嚡	haai	0
嚤	mo	10
嚤	moh	10
嚥	yin	1
嚦	lik	0
嚧	lo	0
嚨	lung	4
嚪	daam	0
嚫	chan	0
嚬	pan	0
嚭	pei	0
嚮	heung	11
嚲	do	0
嚳	guk	0
嚴	yim	195
嚵	chaam	0
嚶	ying	0
嚷	yeung	5
嚹	la	0
嚼	jeuk	5
嚼	jiu	5
嚾	fun	0
嚿	gau	10
囀	juen	0
囁	jip	0
囂	hiu	21
囅	chin	0
囆	chaai	0
囈	ngai	1
囉	loh	152
囊	nong	13
囋	jan	0
囌	so	0
囍	hei	0
囑	juk	2
囓	ngit	0
囔	long	0
囗	wai	0
囚	chau	6
四	sei	944
四	si	944
囝	gin	2
回	wooi	1198
回	wui	1198
囟	sun	0
因	yan	1912
囡	laam	6
囤	tuen	1
囧	gwing	0
囪	chung	0
囫	fat	0
囮	yau	0
困	kwan	107
囷	kwan	0
囹	ling	0
固	goo	79
固	gu	79
囿	yau	0
圁	ngan	0
圂	waan	0
圃	po	1
圃	pou	1
圄	yue	0
圇	lun	0
圈	huen	66
圉	yue	0
圊	ching	0
國	gwok	2499
國	kwok	2499
