却	gl	10
卵	hi	475
卷	fu	495
卸	ol	480
卹	hl	485
卻	cl	490
卼	mu	365
卽	hl	10
卾	rl	10
卿	hl	465
厂	mh	465
厄	mu	490
厊	mh	460
厎	mm	360
厏	ms	445
厒	mu	375
厓	mg	10
厔	mg	405
厖	mh	440
厗	mj	425
厘	mg	400
厙	mj	420
厚	md	495
厜	mm	310
厝	ma	490
厞	my	470
原	mf	490
厠	mn	10
厢	mu	10
厤	md	375
厥	mo	465
厦	me	10
厧	mc	380
厨	mi	10
厩	mu	10
厪	mm	10
厫	mk	10
厬	mr	260
厭	mk	430
厮	ml	10
厰	mk	10
厲	mb	450
厴	ml	310
厶	vi	10
厹	ki	460
去	gi	500
叁	im	10
参	ih	10
參	ih	490
叅	ip	10
又	nk	500
叉	ei	500
及	ne	500
友	ke	500
双	ee	10
反	he	500
叐	he	10
发	ve	10
叒	ee	10
叔	ye	500
取	se	495
受	be	500
变	ye	10
叙	oe	10
叚	re	10
叛	fe	500
叟	he	465
叠	em	10
叡	ye	385
叢	te	450
口	r	500
古	jr	500
句	pr	500
另	rs	500
叨	rh	500
叩	rl	500
只	rc	500
叫	rl	495
召	sr	500
叭	rc	495
叮	rn	500
可	mr	500
台	ir	500
叱	rp	500
史	lk	500
右	kr	495
叵	sr	490
叶	rj	10
号	rs	10
司	sr	495
叻	rs	495
叼	rm	500
叾	nr	10
吁	rd	500
吃	rn	495
各	hr	500
吆	ri	495
吇	rd	415
合	or	500
吉	gr	500
吊	rb	500
吋	ri	500
同	br	500
名	nr	500
后	hr	490
吏	jk	495
吐	rg	500
向	hr	495
吒	rp	490
吓	ry	10
吔	rd	10
吖	rl	10
吘	rj	455
吙	rf	435
吚	rk	10
君	sr	485
吜	rg	440
吝	yr	495
吞	hr	480
吟	rn	480
吠	rk	495
吡	rp	10
吣	rp	10
吤	rl	430
吥	rf	430
否	mr	485
吧	ru	490
吨	ru	410
吩	rh	495
吪	rp	450
含	or	460
听	rl	490
吭	rn	485
吮	ru	480
启	ir	10
吰	ri	410
吱	re	495
吲	rl	10
吳	rk	500
吴	rk	10
吵	rh	485
吶	rb	495
吷	rk	390
吸	re	500
吹	ro	495
吻	rh	490
吼	ru	475
吽	rq	490
吾	mr	490
呀	rh	480
呁	rm	435
呂	rr	500
呃	ru	485
呅	rk	385
呆	rd	495
呇	er	395
呈	rg	495
告	hr	475
呋	ro	10
呍	ri	10
呎	ro	500
呏	rt	475
呔	ri	405
呠	rm	420
呡	rp	445
呢	rp	485
呣	ri	395
呤	ri	390
呥	rb	395
呦	rs	455
呧	rm	415
周	br	495
呩	rf	10
呪	ru	10
呫	rr	380
呬	rc	420
呭	rt	10
呯	rj	450
呰	yr	290
呱	ro	485
呲	rp	435
味	rd	490
呴	rr	375
呵	rr	495
呶	re	490
呷	rl	480
呸	rm	495
呺	rs	460
呻	rl	485
呼	rd	485
命	ol	475
呾	rm	425
呿	ri	400
咀	rm	490
咁	rm	430
咂	rb	400
咄	ru	465
咅	yr	10
咆	ru	460
咇	rh	465
咈	rn	430
咋	rs	490
和	hr	470
咍	rr	370
咎	hr	465
咏	re	10
咐	ri	490
咑	rn	435
咒	rn	475
咓	rn	10
咔	ry	10
咕	rr	485
咖	rr	490
咗	rm	10
咘	rb	390
咚	ry	500
咜	rp	10
咞	rt	10
咠	rj	440
咡	rj	445
咢	rs	450
咢	rs	10
咣	ru	10
咤	rp	10
咥	rg	435
咦	rn	470
咧	rn	465
咨	ir	485
咩	rq	500
咪	rd	480
咫	sc	495
咬	rk	490
咭	rr	365
咮	rd	410
咯	rr	470
咰	ra	460
咱	ru	455
咲	rk	10
咳	ro	480
咴	rf	10
咶	rr	355
咷	ro	400
咸	ir	480
咹	rv	10
咺	rm	410
咻	rd	475
咼	br	395
咽	rk	480
咾	rp	440
咿	rk	475
哀	yv	475
品	rr	480
哂	rw	500
哃	rr	360
哄	rc	490
哅	rk	380
哆	rn	425
哇	rg	490
哈	rr	475
哉	jr	490
哋	rd	10
哌	rv	10
响	rr	10
哎	rk	485
哏	rv	455
哐	rg	10
哖	rq	485
哚	rd	10
哞	rq	480
哠	rr	345
員	rc	480
哢	rt	470
哣	rt	10
哤	rh	455
哥	mr	470
哦	ri	485
哧	rc	415
哨	rb	490
哩	rg	485
哪	rl	475
哫	ro	390
哭	rk	470
哮	rd	470
哯	ru	10
哱	rd	405
哲	qr	455
哳	rl	425
哷	ri	385
哸	rv	450
哺	rb	480
哻	rj	435
哼	rn	460
哽	rk	460
哿	kr	430
唁	rr	465
唂	rr	10
唃	rg	425
唄	rc	410
唅	rr	350
唆	re	485
唇	mr	465
唈	ru	405
唉	rk	465
唊	ro	385
唋	rd	400
唌	rm	405
唍	ru	10
唎	rn	420
唏	rb	475
唐	ir	470
唑	rg	430
唒	rw	490
唓	rj	10
唔	rr	460
唗	ro	395
唘	mr	10
唚	re	460
唞	rj	10
唣	rp	10
唥	ri	10
唦	rh	460
唧	rl	470
唨	rm	10
唪	rq	475
唫	rc	10
唬	ru	445
唭	rc	405
售	or	385
唯	rg	480
唰	rn	410
唱	ra	495
唲	ru	385
唳	rk	455
唴	ru	400
唵	ru	395
唶	ra	455
唷	rb	485
唸	rp	480
唹	ry	485
唻	ro	370
唼	rv	445
唾	rm	465
唿	rp	10
啀	rg	420
啁	rr	450
啃	rb	470
啄	ro	475
啅	rj	425
商	yr	440
啇	yr	10
啈	rj	420
啉	rd	10
啊	rr	455
啋	rd	385
啍	rd	390
啎	or	295
問	ar	490
啐	rj	430
啑	ro	375
啒	ru	390
啓	ir	10
啕	ru	450
啖	rf	500
啗	rx	500
啜	re	480
啝	rr	10
啞	rm	485
啟	hk	465
啡	ry	495
啢	rb	385
啣	rl	460
啤	rj	500
啥	rr	340
啦	rt	500
啩	ry	10
啪	ra	500
啫	ra	10
啱	rr	10
啲	ri	10
啳	ru	10
啵	re	455
啶	ro	380
啷	rl	415
啹	rr	10
啻	yr	425
啼	rb	465
啽	rt	460
啾	rf	495
啿	rv	435
喀	rr	445
喁	rb	380
喂	rv	495
喃	rj	495
善	tr	445
喆	gr	10
喇	rn	455
喈	ra	445
喉	rk	445
喊	rr	440
喋	rd	465
喌	rl	410
喍	rd	375
喎	rr	330
喏	rr	335
喐	rl	10
喑	ra	450
喒	ra	440
喓	rv	440
喔	rg	475
